Data Source,TIMEFRAME (DD/MM/YYYY),Volumetric Flow Meter 1,Volumetric Flow Meter 2,Pump Speed (RPM),Pump Torque ,Ambient Temperature,Horse Power,Pump Efficiency,PUMP FAILURE (1 or 0)
Raw,9/12/2014 0:44,42.28,41.67,94,199,49,3.56,75.76,0
Raw,9/12/2014 0:45,40.43,41.01,91,217,54,3.76,74.56,0
Raw,9/12/2014 0:46,40.53,43.97,96,188,53,3.44,79.95,0
Raw,9/12/2014 0:47,42.81,43.67,96,201,49,3.67,79.40,0
Raw,9/12/2014 0:48,42.78,41.39,88,198,49,3.32,75.25,0
Raw,9/12/2014 0:49,41.49,40.23,81,191,53,2.95,73.15,0
Raw,9/12/2014 0:50,40,41.2,81,184,46,2.84,74.91,0
Raw,9/12/2014 0:51,43.12,43.65,88,207,45,3.47,79.36,0
Raw,9/12/2014 0:52,42.1,40.77,86,203,52,3.32,74.13,0
Raw,9/12/2014 0:53,40.48,42.97,82,214,52,3.34,78.13,0
Raw,9/12/2014 0:54,43.25,41.69,85,190,55,3.08,75.80,0
Raw,9/12/2014 0:55,40.47,43.39,81,208,54,3.21,78.89,0
Raw,9/12/2014 0:56,42.62,43.3,98,182,55,3.40,78.73,0
Raw,9/12/2014 0:57,43.32,42.56,90,192,46,3.29,77.38,0
Raw,9/12/2014 0:58,41.63,43.23,86,193,48,3.16,78.60,0
Raw,9/12/2014 0:59,40.9,40.94,80,209,55,3.18,74.44,0
Raw,9/12/2014 1:00,43.72,40.64,93,202,48,3.58,73.89,0
Raw,9/12/2014 1:01,43.86,42.77,81,188,48,2.90,77.76,0
Raw,9/12/2014 1:02,42.3,40.23,86,203,46,3.32,73.15,0
Raw,9/12/2014 1:03,41.42,40.68,88,213,49,3.57,73.96,0
Raw,9/12/2014 1:04,40.27,41.96,100,184,52,3.50,76.29,0
Raw,9/12/2014 1:05,43.65,42.45,80,213,51,3.24,77.18,0
Raw,9/12/2014 1:06,41.36,41.38,88,186,53,3.12,75.24,0
Raw,9/12/2014 1:07,40.13,40.26,87,191,47,3.16,73.20,0
Raw,9/12/2014 1:08,42.87,43.16,95,191,49,3.45,78.47,0
Raw,9/12/2014 1:09,41.9,42.01,84,183,46,2.93,76.38,0
Raw,9/12/2014 1:10,41.1,43.58,85,212,53,3.43,79.24,0
Raw,9/12/2014 1:11,42.66,42.73,83,201,54,3.18,77.69,0
Raw,9/12/2014 1:12,41.69,41.1,85,184,46,2.98,74.73,0
Raw,9/12/2014 1:13,41.22,41.05,81,214,47,3.30,74.64,0
Raw,9/12/2014 1:14,40.19,41.11,85,218,51,3.53,74.75,0
Raw,9/12/2014 1:15,42.3,43.2,91,188,47,3.26,78.55,0
Raw,9/12/2014 1:16,41.25,40.14,82,210,55,3.28,72.98,0
Raw,9/12/2014 1:17,40.97,43.85,85,184,50,2.98,79.73,0
Raw,9/12/2014 1:18,42.64,42.73,95,211,54,3.82,77.69,0
Raw,9/12/2014 1:19,42.41,40.34,81,214,55,3.30,73.35,0
Raw,9/12/2014 1:20,42.6,43.69,92,220,53,3.85,79.44,0
Raw,9/12/2014 1:21,41.92,40.19,100,199,46,3.79,73.07,0
Raw,9/12/2014 1:22,41.81,40.89,84,193,46,3.09,74.35,0
Raw,9/12/2014 1:23,41.15,43.71,88,186,46,3.12,79.47,0
Raw,9/12/2014 1:24,43.94,43.2,97,212,52,3.92,78.55,0
Raw,9/12/2014 1:25,42.72,42.58,88,194,55,3.25,77.42,0
Raw,9/12/2014 1:26,43.35,42.98,93,192,54,3.40,78.15,0
Raw,9/12/2014 1:27,41.56,41.23,90,203,45,3.48,74.96,0
Raw,9/12/2014 1:28,43.7,40.34,97,188,48,3.47,73.35,0
Raw,9/12/2014 1:29,42.85,43.4,96,185,53,3.38,78.91,0
Raw,9/12/2014 1:30,40.64,43.66,88,199,45,3.33,79.38,0
Raw,9/12/2014 1:31,42,40.92,93,219,52,3.88,74.40,0
Raw,9/12/2014 1:32,43.39,41.6,89,217,55,3.68,75.64,0
Raw,9/12/2014 1:33,40.85,40.2,91,218,55,3.78,73.09,0
Raw,9/12/2014 1:34,41.75,42.99,95,187,47,3.38,78.16,0
Raw,9/12/2014 1:35,42.91,40.87,85,201,47,3.25,74.31,0
Raw,9/12/2014 1:36,43.07,41.37,84,197,48,3.15,75.22,0
Raw,9/12/2014 1:37,40.45,43.29,92,210,55,3.68,78.71,0
Raw,9/12/2014 1:38,41.13,40.61,93,209,48,3.70,73.84,0
Raw,9/12/2014 1:39,43.69,41.85,85,198,50,3.20,76.09,0
Raw,9/12/2014 1:40,40.27,40.44,97,213,49,3.93,73.53,0
Raw,9/12/2014 1:41,43.12,43.51,100,195,53,3.71,79.11,0
Raw,9/12/2014 1:42,41.4,41.27,94,194,48,3.47,75.04,0
Raw,9/12/2014 1:43,41.89,43.89,93,205,46,3.63,79.80,0
Raw,9/12/2014 1:44,43.9,41.13,83,216,50,3.41,74.78,0
Raw,9/12/2014 1:45,41.96,43.07,93,181,51,3.21,78.31,0
Raw,9/12/2014 1:46,42.37,42.78,96,183,54,3.35,77.78,0
Raw,9/12/2014 1:47,42.83,40.59,93,195,49,3.45,73.80,0
Raw,9/12/2014 1:48,42.02,41.52,87,190,45,3.15,75.49,0
Raw,9/12/2014 1:49,41.73,41.84,88,212,50,3.55,76.07,0
Raw,9/12/2014 1:50,40.21,43.07,97,207,50,3.82,78.31,0
Raw,9/12/2014 1:51,43.4,41.58,98,184,55,3.43,75.60,0
Raw,9/12/2014 1:52,43.77,40.25,89,218,48,3.69,73.18,0
Raw,9/12/2014 1:53,40.14,43.79,95,215,46,3.89,79.62,0
Raw,9/12/2014 1:54,43.36,40.89,84,214,49,3.42,74.35,0
Raw,9/12/2014 1:55,40.99,42.01,95,195,50,3.53,76.38,0
Raw,9/12/2014 1:56,41.01,40.77,82,218,49,3.40,74.13,0
Raw,9/12/2014 1:57,42.96,43.01,99,184,49,3.47,78.20,0
Raw,9/12/2014 1:58,41.01,41.69,95,219,45,3.96,75.80,0
Raw,9/12/2014 1:59,41.03,40.87,93,210,49,3.72,74.31,0
Raw,9/12/2014 2:00,40.35,43.2,95,203,52,3.67,78.55,0
Raw,9/12/2014 2:01,43.59,40.8,93,180,54,3.19,74.18,0
Raw,9/12/2014 2:02,43.4,43.28,82,192,48,3.00,78.69,0
Raw,9/12/2014 2:03,43.11,40.85,81,219,45,3.38,74.27,0
Raw,9/12/2014 2:04,42.69,42.49,88,185,52,3.10,77.25,0
Raw,9/12/2014 2:05,43.71,43.55,81,201,54,3.10,79.18,0
Raw,9/12/2014 2:06,41.5,40.06,89,198,46,3.36,72.84,0
Raw,9/12/2014 2:07,41.62,41.56,92,202,46,3.54,75.56,0
Raw,9/12/2014 2:08,43.88,40.61,94,193,48,3.45,73.84,0
Raw,9/12/2014 2:09,40.38,42.13,96,198,55,3.62,76.60,0
Raw,9/12/2014 2:10,40.12,40.31,84,204,49,3.26,73.29,0
Raw,9/12/2014 2:11,43.89,40.7,80,196,53,2.99,74.00,0
Raw,9/12/2014 2:12,40.61,43.71,94,213,52,3.81,79.47,0
Raw,9/12/2014 2:13,40.11,40.87,84,189,54,3.02,74.31,0
Raw,9/12/2014 2:14,42.22,43.94,97,180,46,3.32,79.89,0
Raw,9/12/2014 2:15,42.34,40.07,90,212,45,3.63,72.85,0
Raw,9/12/2014 2:16,41.34,42.49,91,204,45,3.53,77.25,0
Raw,9/12/2014 2:17,41.29,41.49,82,219,46,3.42,75.44,0
Raw,9/12/2014 2:18,41.96,41.16,92,195,55,3.42,74.84,0
Raw,9/12/2014 2:19,41.38,43.18,98,195,51,3.64,78.51,0
Raw,9/12/2014 2:20,42.83,42.56,86,210,54,3.44,77.38,0
Raw,9/12/2014 2:21,43.83,43.97,99,180,48,3.39,79.95,0
Raw,9/12/2014 2:22,41.47,40.48,93,181,55,3.21,73.60,0
Raw,9/12/2014 2:23,41.17,43.3,93,218,49,3.86,78.73,0
Raw,9/12/2014 2:24,40.98,42.15,89,181,51,3.07,76.64,0
Raw,9/12/2014 2:25,41.3,40.73,89,217,49,3.68,74.05,0
Raw,9/12/2014 2:26,41.39,41.16,83,185,48,2.92,74.84,0
Raw,9/12/2014 2:27,42.84,40.99,92,196,50,3.43,74.53,0
Raw,9/12/2014 2:28,43.16,41.62,81,212,51,3.27,75.67,0
Raw,9/12/2014 2:29,42.44,40.77,94,180,45,3.22,74.13,0
Raw,9/12/2014 2:30,42.59,40.29,85,207,49,3.35,73.25,0
Raw,9/12/2014 2:31,40.87,42.45,90,199,45,3.41,77.18,0
Raw,9/12/2014 2:32,41.58,43.49,85,198,46,3.20,79.07,0
Raw,9/12/2014 2:33,40.32,40.75,87,185,45,3.06,74.09,0
Raw,9/12/2014 2:34,41.53,41.02,85,205,53,3.32,74.58,0
Raw,9/12/2014 2:35,40.49,41.93,91,213,52,3.69,76.24,0
Raw,9/12/2014 2:36,42.11,41.74,90,208,47,3.56,75.89,0
Raw,9/12/2014 2:37,41.15,43.66,100,215,45,4.09,79.38,0
Raw,9/12/2014 2:38,44,41.21,82,203,48,3.17,74.93,0
Raw,9/12/2014 2:39,42.33,42.7,96,195,48,3.56,77.64,0
Raw,9/12/2014 2:40,40.13,40.83,97,212,45,3.92,74.24,0
Raw,9/12/2014 2:41,40.35,41.7,83,219,46,3.46,75.82,0
Raw,9/12/2014 2:42,42.85,42.9,87,216,53,3.58,78.00,0
Raw,9/12/2014 2:43,43.78,41.59,96,197,45,3.60,75.62,0
Raw,9/12/2014 2:44,42.51,42.83,86,212,50,3.47,77.87,0
Raw,9/12/2014 2:45,40,42.95,85,202,46,3.27,78.09,0
Raw,9/12/2014 2:46,40.81,40.89,89,194,47,3.29,74.35,0
Raw,9/12/2014 2:47,41.31,42.51,80,191,50,2.91,77.29,0
Raw,9/12/2014 2:48,40.78,42.2,94,214,52,3.83,76.73,0
Raw,9/12/2014 2:49,42.4,40.49,89,210,45,3.56,73.62,0
Raw,9/12/2014 2:50,42.83,40.76,86,187,47,3.06,74.11,0
Raw,9/12/2014 2:51,42.96,40.13,96,215,49,3.93,72.96,0
Raw,9/12/2014 2:52,40.36,43.44,80,194,47,2.96,78.98,0
Raw,9/12/2014 2:53,42.42,43,82,185,55,2.89,78.18,0
Raw,9/12/2014 2:54,40.56,41.72,96,205,53,3.75,75.85,0
Raw,9/12/2014 2:55,43.74,42.94,85,201,47,3.25,78.07,0
Raw,9/12/2014 2:56,41.79,40.3,86,219,52,3.59,73.27,0
Raw,9/12/2014 2:57,43.9,42.57,89,197,54,3.34,77.40,0
Raw,9/12/2014 2:58,41.67,43.35,83,205,45,3.24,78.82,0
Raw,9/12/2014 2:59,40.33,43.91,92,180,47,3.15,79.84,0
Raw,9/12/2014 3:00,42.29,43.43,92,208,49,3.64,78.96,0
Raw,9/12/2014 3:01,41.62,40.19,89,201,51,3.41,73.07,0
Raw,9/12/2014 3:02,40.44,43,99,214,46,4.03,78.18,0
Raw,9/12/2014 3:03,43.22,42.66,98,199,47,3.71,77.56,0
Raw,9/12/2014 3:04,42.9,43.01,90,201,47,3.44,78.20,0
Raw,9/12/2014 3:05,40.71,42.59,84,209,54,3.34,77.44,0
Raw,9/12/2014 3:06,41.07,41.32,99,200,46,3.77,75.13,0
Raw,9/12/2014 3:07,42.58,42.84,98,185,52,3.45,77.89,0
Raw,9/12/2014 3:08,40.27,42.97,96,193,54,3.53,78.13,0
Raw,9/12/2014 3:09,43.35,40.46,90,212,46,3.63,73.56,0
Raw,9/12/2014 3:10,43.85,43.47,90,206,53,3.53,79.04,0
Raw,9/12/2014 3:11,44,42.72,80,217,52,3.31,77.67,0
Raw,9/12/2014 3:12,41.72,41.16,88,198,55,3.32,74.84,0
Raw,9/12/2014 3:13,43.59,42.4,96,194,55,3.55,77.09,0
Raw,9/12/2014 3:14,42.16,41.26,90,194,48,3.32,75.02,0
Raw,9/12/2014 3:15,42.92,42.75,93,180,50,3.19,77.73,0
Raw,9/12/2014 3:16,40.98,43.18,81,207,51,3.19,78.51,0
Raw,9/12/2014 3:17,41.01,40.81,95,217,50,3.93,74.20,0
Raw,9/12/2014 3:18,40.04,41.66,91,186,52,3.22,75.75,0
Raw,9/12/2014 3:19,43.95,43.06,91,181,50,3.14,78.29,0
Raw,9/12/2014 3:20,43.7,42.52,91,205,49,3.55,77.31,0
Raw,9/12/2014 3:21,40.92,43.3,95,218,49,3.94,78.73,0
Raw,9/12/2014 3:22,41.8,43.3,81,189,48,2.91,78.73,0
Raw,9/12/2014 3:23,41.71,40.19,97,191,45,3.53,73.07,0
Raw,9/12/2014 3:24,43.04,41.93,96,208,51,3.80,76.24,0
Raw,9/12/2014 3:25,41.08,42.32,90,203,47,3.48,76.95,0
Raw,9/12/2014 3:26,43.93,40.04,89,181,54,3.07,72.80,0
Raw,9/12/2014 3:27,40.93,40.32,85,211,46,3.41,73.31,0
Raw,9/12/2014 3:28,41.9,40.62,93,213,45,3.77,73.85,0
Raw,9/12/2014 3:29,42.65,43.31,85,195,50,3.16,78.75,0
Raw,9/12/2014 3:30,40.06,42.41,80,218,54,3.32,77.11,0
Raw,9/12/2014 3:31,41.59,41.29,84,214,54,3.42,75.07,0
Raw,9/12/2014 3:32,40.14,40.39,80,189,47,2.88,73.44,0
Raw,9/12/2014 3:33,43.69,43.6,88,190,50,3.18,79.27,0
Raw,9/12/2014 3:34,41.73,43.18,83,180,55,2.84,78.51,0
Raw,9/12/2014 3:35,43.49,40.16,81,217,48,3.35,73.02,0
Raw,9/12/2014 3:36,41.74,40.67,82,212,49,3.31,73.95,0
Raw,9/12/2014 3:37,41.83,42.73,83,208,48,3.29,77.69,0
Raw,9/12/2014 3:38,40.75,40.54,85,207,48,3.35,73.71,0
Raw,9/12/2014 3:39,42.33,40.18,100,180,47,3.43,73.05,0
Raw,9/12/2014 3:40,42.45,41.96,94,219,53,3.92,76.29,0
Raw,9/12/2014 3:41,42.43,41.12,80,212,47,3.23,74.76,0
Raw,9/12/2014 3:42,43.08,42.53,90,184,50,3.15,77.33,0
Raw,9/12/2014 3:43,40.37,42.61,82,181,47,2.83,77.47,0
Raw,9/12/2014 3:44,43.14,40.27,86,213,45,3.49,73.22,0
Raw,9/12/2014 3:45,41.21,43.3,93,180,51,3.19,78.73,0
Raw,9/12/2014 3:46,42.53,43.6,95,190,49,3.44,79.27,0
Raw,9/12/2014 3:47,43.12,41.51,80,180,46,2.74,75.47,0
Raw,9/12/2014 3:48,42.9,41.92,98,212,55,3.96,76.22,0
Raw,9/12/2014 3:49,43.89,40.07,86,181,46,2.96,72.85,0
Raw,9/12/2014 3:50,41.81,43.64,95,203,51,3.67,79.35,0
Raw,9/12/2014 3:51,42.4,41.26,94,212,55,3.79,75.02,0
Raw,9/12/2014 3:52,43.88,42.19,93,219,53,3.88,76.71,0
Raw,9/12/2014 3:53,41.54,40.01,96,196,47,3.58,72.75,0
Raw,9/12/2014 3:54,43.17,42.61,92,186,49,3.26,77.47,0
Raw,9/12/2014 3:55,43.1,42.32,84,199,46,3.18,76.95,0
Raw,9/12/2014 3:56,42.52,40.04,84,218,45,3.49,72.80,0
Raw,9/12/2014 3:57,41.95,40.34,95,193,46,3.49,73.35,0
Raw,9/12/2014 3:58,43.91,40.94,98,193,51,3.60,74.44,0
Raw,9/12/2014 3:59,41.45,43.5,87,202,47,3.35,79.09,0
Raw,9/12/2014 4:00,41.51,41.63,84,183,45,2.93,75.69,0
Raw,9/12/2014 4:01,41.08,40.58,88,197,55,3.30,73.78,0
Raw,9/12/2014 4:02,43.58,40.17,94,220,45,3.94,73.04,0
Raw,9/12/2014 4:03,42.65,44.37,97,224,55,4.14,77.55,0
Raw,9/12/2014 4:04,43.58,44.42,99,232,54,4.37,79.24,0
Raw,9/12/2014 4:05,42.07,44.35,104,222,52,4.40,76.49,0
Raw,9/12/2014 4:06,42.28,44.39,102,236,54,4.58,76.87,0
Raw,9/12/2014 4:07,43.88,42.29,99,240,53,4.52,79.78,0
Raw,9/12/2014 4:08,44.61,42.28,103,240,54,4.71,81.11,0
Raw,9/12/2014 4:09,43.14,44.75,97,240,53,4.43,78.44,0
Raw,9/12/2014 4:10,42.04,42.12,98,232,53,4.33,76.44,0
Raw,9/12/2014 4:11,42.85,42.82,98,233,52,4.35,77.91,0
Raw,9/12/2014 4:12,43.49,43.05,97,227,52,4.19,79.07,0
Raw,9/12/2014 4:13,44.54,43.41,100,238,54,4.53,80.98,0
Raw,9/12/2014 4:14,43.46,44.16,100,222,55,4.23,79.02,0
Raw,9/12/2014 4:15,42.91,42.94,100,233,55,4.44,78.02,0
Raw,9/12/2014 4:16,42.65,42.02,98,236,55,4.40,77.55,0
Raw,9/12/2014 4:17,44.69,42.07,98,223,53,4.16,81.25,0
Raw,9/12/2014 4:18,42.22,43.72,102,233,53,4.53,76.76,0
Raw,9/12/2014 4:19,43.75,44.51,99,227,55,4.28,79.55,0
Raw,9/12/2014 4:20,43.97,42.02,98,236,55,4.40,79.95,0
Raw,9/12/2014 4:21,42.27,45,102,235,53,4.56,76.85,0
Raw,9/12/2014 4:22,43.68,44.81,96,224,55,4.09,79.42,0
Raw,9/12/2014 4:23,42.02,43.48,102,220,54,4.27,76.40,0
Raw,9/12/2014 4:24,43.44,43.82,95,235,52,4.25,78.98,0
Raw,9/12/2014 4:25,42.64,42.38,103,221,54,4.33,77.53,0
Raw,9/12/2014 4:26,42.13,43.05,100,221,54,4.21,76.60,0
Raw,9/12/2014 4:27,43.02,44.53,102,238,53,4.62,78.22,0
Raw,9/12/2014 4:28,44.66,42.45,100,230,55,4.38,81.20,0
Raw,9/12/2014 4:29,42.69,44.7,95,227,53,4.11,77.62,0
Raw,9/12/2014 4:30,42.94,43.45,102,221,53,4.29,78.07,0
Raw,9/12/2014 4:31,43.31,42.27,95,239,54,4.32,78.75,0
Raw,9/12/2014 4:32,43.37,42.3,104,238,52,4.71,78.85,0
Raw,9/12/2014 4:33,44.29,44.22,105,230,53,4.60,80.53,0
Raw,9/12/2014 4:34,44.88,44.8,105,226,55,4.52,81.60,0
Raw,9/12/2014 4:35,44.07,42.2,98,221,53,4.12,80.13,0
Raw,9/12/2014 4:36,44.87,43.59,96,222,55,4.06,81.58,0
Raw,9/12/2014 4:37,43.4,44.79,96,231,55,4.22,78.91,0
Raw,9/12/2014 4:38,43.48,43.5,98,240,52,4.48,79.05,0
Raw,9/12/2014 4:39,44.69,42.84,96,230,54,4.20,81.25,0
Raw,9/12/2014 4:40,43.84,44.94,100,223,52,4.25,79.71,0
Raw,9/12/2014 4:41,42.71,42.05,101,221,54,4.25,77.65,0
Raw,9/12/2014 4:42,43.62,44.46,97,222,53,4.10,79.31,0
Raw,9/12/2014 4:43,42.57,42.1,99,233,54,4.39,77.40,0
Raw,9/12/2014 4:44,42.2,43.21,102,222,52,4.31,76.73,0
Raw,9/12/2014 4:45,43.25,42.32,95,235,54,4.25,78.64,0
Raw,9/12/2014 4:46,42.09,40.56,97,233,52,4.30,76.53,0
Raw,9/12/2014 4:47,43.72,40.17,89,199,50,3.37,73.04,0
Raw,9/12/2014 4:48,41.22,41.57,89,199,49,3.37,75.58,0
Raw,9/12/2014 4:49,41.99,41.01,83,207,55,3.27,74.56,0
Raw,9/12/2014 4:50,43.42,41.6,88,220,50,3.69,75.64,0
Raw,9/12/2014 4:51,40.89,40.73,90,191,54,3.27,74.05,0
Raw,9/12/2014 4:52,42.75,42.84,97,186,53,3.44,77.89,0
Raw,9/12/2014 4:53,40.01,41,84,215,54,3.44,74.55,0
Raw,9/12/2014 4:54,41.7,40.08,88,200,55,3.35,72.87,0
Raw,9/12/2014 4:55,43.77,41.67,97,212,47,3.92,75.76,0
Raw,9/12/2014 4:56,41.56,40.13,89,220,55,3.73,72.96,0
Raw,9/12/2014 4:57,43.74,40.46,84,211,51,3.37,73.56,0
Raw,9/12/2014 4:58,42.59,40.46,85,203,46,3.29,73.56,0
Raw,9/12/2014 4:59,41.8,40.13,91,203,46,3.52,72.96,0
Raw,9/12/2014 5:00,42.45,40.68,85,200,45,3.24,73.96,0
Raw,9/12/2014 5:01,44,42.81,95,210,47,3.80,77.84,0
Raw,9/12/2014 5:02,40.14,41.35,91,180,53,3.12,75.18,0
Raw,9/12/2014 5:03,43.35,41.65,82,220,51,3.43,75.73,0
Raw,9/12/2014 5:04,41.35,43.71,86,211,54,3.46,79.47,0
Raw,9/12/2014 5:05,42.63,44,91,204,53,3.53,80.00,0
Raw,9/12/2014 5:06,42.9,42.98,87,211,53,3.50,78.15,0
Raw,9/12/2014 5:07,42.7,40.39,88,217,47,3.64,73.44,0
Raw,9/12/2014 5:08,42.98,41.74,100,182,54,3.47,75.89,0
Raw,9/12/2014 5:09,41.91,40.06,90,206,52,3.53,72.84,0
Raw,9/12/2014 5:10,40.49,41.93,91,218,50,3.78,76.24,0
Raw,9/12/2014 5:11,40.96,40.68,89,180,48,3.05,73.96,0
Raw,9/12/2014 5:12,41.91,43.35,94,182,51,3.26,78.82,0
Raw,9/12/2014 5:13,42.87,40.2,92,214,55,3.75,73.09,0
Raw,9/12/2014 5:14,40.52,40.22,89,213,53,3.61,73.13,0
Raw,9/12/2014 5:15,41.91,41.64,97,216,50,3.99,75.71,0
Raw,9/12/2014 5:16,43.8,41.59,80,192,48,2.92,75.62,0
Raw,9/12/2014 5:17,40.65,40.43,97,217,55,4.01,73.51,0
Raw,9/12/2014 5:18,43.44,41.85,96,192,46,3.51,76.09,0
Raw,9/12/2014 5:19,41.56,40.7,84,219,52,3.50,74.00,0
Raw,9/12/2014 5:20,43.17,41.98,86,210,47,3.44,76.33,0
Raw,9/12/2014 5:21,42.12,43.52,88,187,52,3.13,79.13,0
Raw,9/12/2014 5:22,40.65,43.47,97,193,52,3.56,79.04,0
Raw,9/12/2014 5:23,40.82,40.74,94,198,52,3.54,74.07,0
Raw,9/12/2014 5:24,43.39,41.08,95,212,46,3.83,74.69,0
Raw,9/12/2014 5:25,40.03,43.55,89,182,54,3.08,79.18,0
Raw,9/12/2014 5:26,40.41,41.5,89,186,53,3.15,75.45,0
Raw,9/12/2014 5:27,43.78,40.2,90,190,54,3.26,73.09,0
Raw,9/12/2014 5:28,40.31,43.58,90,193,52,3.31,79.24,0
Raw,9/12/2014 5:29,41.81,43.87,100,209,50,3.98,79.76,0
Raw,9/12/2014 5:30,43.24,40.47,98,211,55,3.94,73.58,0
Raw,9/12/2014 5:31,42.02,40.66,85,182,47,2.95,73.93,0
Raw,9/12/2014 5:32,40.25,40.56,81,196,51,3.02,73.75,0
Raw,9/12/2014 5:33,40.74,43.8,91,183,55,3.17,79.64,0
Raw,9/12/2014 5:34,42.22,41.8,98,187,55,3.49,76.00,0
Raw,9/12/2014 5:35,42.15,43.71,89,180,55,3.05,79.47,0
Raw,9/12/2014 5:36,41.67,43.31,85,190,46,3.08,78.75,0
Raw,9/12/2014 5:37,41.98,40.06,94,185,50,3.31,72.84,0
Raw,9/12/2014 5:38,40.97,43.22,99,206,54,3.88,78.58,0
Raw,9/12/2014 5:39,42.96,42.85,98,183,54,3.41,77.91,0
Raw,9/12/2014 5:40,43.43,41.99,94,194,45,3.47,76.35,0
Raw,9/12/2014 5:41,42.6,40.95,99,181,48,3.41,74.45,0
Raw,9/12/2014 5:42,40.44,41.49,87,192,55,3.18,75.44,0
Raw,9/12/2014 5:43,43.48,40.83,82,185,47,2.89,74.24,0
Raw,9/12/2014 5:44,41.22,43.8,93,183,46,3.24,79.64,0
Raw,9/12/2014 5:45,43.2,40.72,99,218,55,4.11,74.04,0
Raw,9/12/2014 5:46,43.31,40.05,92,189,51,3.31,72.82,0
Raw,9/12/2014 5:47,42.81,41.35,96,201,45,3.67,75.18,0
Raw,9/12/2014 5:48,40.42,40.14,96,186,52,3.40,72.98,0
Raw,9/12/2014 5:49,41.53,41.93,83,219,45,3.46,76.24,0
Raw,9/12/2014 5:50,42.55,43.54,93,198,51,3.51,79.16,0
Raw,9/12/2014 5:51,43.54,42.83,80,190,52,2.89,77.87,0
Raw,9/12/2014 5:52,43.83,42.76,84,213,53,3.41,77.75,0
