Data Source,TIMEFRAME (DD/MM/YYYY),Volumetric Flow Meter 1,Volumetric Flow Meter 2,Pump Speed (RPM),Pump Torque ,Ambient Temperature,Horse Power,Pump Efficiency,PUMP FAILURE (1 or 0)
Rolling Stdev (30 Minute),9/12/2014 0:23,1.04,1.24,6.33,11.09,3.32,0.33,2.25,0
Rolling Stdev (30 Minute),9/12/2014 0:24,1.07,1.25,6.33,11.32,3.28,0.33,2.27,0
Rolling Stdev (30 Minute),9/12/2014 0:25,1.10,1.22,6.17,11.08,3.40,0.31,2.21,0
Rolling Stdev (30 Minute),9/12/2014 0:26,1.12,1.21,6.24,11.06,3.48,0.31,2.21,0
Rolling Stdev (30 Minute),9/12/2014 0:27,1.09,1.23,6.24,11.53,3.57,0.30,2.24,0
Rolling Stdev (30 Minute),9/12/2014 0:28,1.11,1.23,6.13,11.30,3.64,0.30,2.24,0
Rolling Stdev (30 Minute),9/12/2014 0:29,1.10,1.25,5.93,11.04,3.58,0.28,2.27,0
Rolling Stdev (30 Minute),9/12/2014 0:30,1.11,1.25,6.07,10.97,3.58,0.27,2.28,0
Rolling Stdev (30 Minute),9/12/2014 0:31,1.12,1.22,5.90,10.99,3.56,0.27,2.23,0
Rolling Stdev (30 Minute),9/12/2014 0:32,1.16,1.20,5.90,10.52,3.45,0.28,2.18,0
Rolling Stdev (30 Minute),9/12/2014 0:33,1.16,1.24,5.63,10.48,3.45,0.28,2.25,0
Rolling Stdev (30 Minute),9/12/2014 0:34,1.16,1.26,5.44,10.53,3.37,0.28,2.29,0
Rolling Stdev (30 Minute),9/12/2014 0:35,1.21,1.23,5.81,10.79,3.35,0.27,2.23,0
Rolling Stdev (30 Minute),9/12/2014 0:36,1.18,1.22,5.96,11.06,3.35,0.27,2.21,0
Rolling Stdev (30 Minute),9/12/2014 0:37,1.19,1.20,5.96,11.05,3.39,0.27,2.18,0
Rolling Stdev (30 Minute),9/12/2014 0:38,1.24,1.19,5.92,11.03,3.35,0.27,2.17,0
Rolling Stdev (30 Minute),9/12/2014 0:39,1.25,1.21,5.95,10.73,3.21,0.26,2.20,0
Rolling Stdev (30 Minute),9/12/2014 0:40,1.24,1.21,5.85,10.97,3.29,0.26,2.20,0
Rolling Stdev (30 Minute),9/12/2014 0:41,1.23,1.25,5.87,10.59,3.23,0.25,2.27,0
Rolling Stdev (30 Minute),9/12/2014 0:42,1.18,1.22,5.80,10.60,3.19,0.24,2.22,0
Rolling Stdev (30 Minute),9/12/2014 0:43,1.18,1.19,5.75,10.92,3.25,0.25,2.17,0
Rolling Stdev (30 Minute),9/12/2014 0:44,1.17,1.19,5.78,11.13,3.28,0.24,2.16,0
Rolling Stdev (30 Minute),9/12/2014 0:45,1.21,1.20,5.66,11.71,3.27,0.23,2.17,0
Rolling Stdev (30 Minute),9/12/2014 0:46,1.18,1.20,5.66,11.34,3.24,0.22,2.18,0
Rolling Stdev (30 Minute),9/12/2014 0:47,1.16,1.19,5.46,11.40,3.33,0.21,2.17,0
Rolling Stdev (30 Minute),9/12/2014 0:48,1.16,1.20,5.17,11.68,3.32,0.21,2.19,0
Rolling Stdev (30 Minute),9/12/2014 0:49,1.16,1.21,5.40,11.93,3.39,0.23,2.19,0
Rolling Stdev (30 Minute),9/12/2014 0:50,1.16,1.20,5.40,12.18,3.47,0.22,2.18,0
Rolling Stdev (30 Minute),9/12/2014 0:51,1.11,1.23,5.40,12.42,3.40,0.23,2.24,0
Rolling Stdev (30 Minute),9/12/2014 0:52,1.09,1.24,5.91,12.35,3.35,0.25,2.25,0
Rolling Stdev (30 Minute),9/12/2014 0:53,1.09,1.24,5.94,12.40,3.44,0.25,2.25,0
Rolling Stdev (30 Minute),9/12/2014 0:54,1.07,1.26,5.86,12.34,3.51,0.25,2.30,0
Rolling Stdev (30 Minute),9/12/2014 0:55,1.10,1.28,6.10,12.46,3.41,0.27,2.33,0
Rolling Stdev (30 Minute),9/12/2014 0:56,1.08,1.26,5.97,12.39,3.46,0.27,2.29,0
Rolling Stdev (30 Minute),9/12/2014 0:57,1.10,1.25,5.75,12.04,3.41,0.27,2.27,0
Rolling Stdev (30 Minute),9/12/2014 0:58,1.07,1.25,5.75,11.98,3.46,0.27,2.28,0
Rolling Stdev (30 Minute),9/12/2014 0:59,1.12,1.26,5.98,12.11,3.46,0.27,2.29,0
Rolling Stdev (30 Minute),9/12/2014 1:00,1.10,1.28,5.94,12.26,3.38,0.27,2.33,0
Rolling Stdev (30 Minute),9/12/2014 1:01,1.09,1.30,5.88,12.24,3.48,0.27,2.35,0
Rolling Stdev (30 Minute),9/12/2014 1:02,1.04,1.30,5.76,12.61,3.48,0.27,2.37,0
Rolling Stdev (30 Minute),9/12/2014 1:03,1.07,1.26,5.74,13.00,3.51,0.28,2.30,0
Rolling Stdev (30 Minute),9/12/2014 1:04,1.08,1.28,5.74,13.20,3.61,0.28,2.33,0
Rolling Stdev (30 Minute),9/12/2014 1:05,1.04,1.30,5.48,13.08,3.65,0.28,2.36,0
Rolling Stdev (30 Minute),9/12/2014 1:06,1.00,1.31,5.27,12.86,3.70,0.28,2.38,0
Rolling Stdev (30 Minute),9/12/2014 1:07,1.02,1.31,5.35,12.60,3.68,0.28,2.38,0
Rolling Stdev (30 Minute),9/12/2014 1:08,1.00,1.29,5.37,12.59,3.74,0.28,2.35,0
Rolling Stdev (30 Minute),9/12/2014 1:09,1.00,1.30,5.30,12.53,3.76,0.29,2.36,0
Rolling Stdev (30 Minute),9/12/2014 1:10,1.04,1.30,5.27,12.05,3.67,0.28,2.36,0
Rolling Stdev (30 Minute),9/12/2014 1:11,1.08,1.29,5.41,12.08,3.65,0.29,2.35,0
Rolling Stdev (30 Minute),9/12/2014 1:12,1.09,1.32,5.59,12.15,3.62,0.29,2.40,0
Rolling Stdev (30 Minute),9/12/2014 1:13,1.10,1.32,5.55,11.77,3.55,0.28,2.39,0
Rolling Stdev (30 Minute),9/12/2014 1:14,1.09,1.35,5.28,11.58,3.59,0.27,2.46,0
Rolling Stdev (30 Minute),9/12/2014 1:15,1.08,1.35,5.36,11.49,3.59,0.28,2.46,0
Rolling Stdev (30 Minute),9/12/2014 1:16,1.08,1.35,5.38,11.84,3.54,0.28,2.45,0
Rolling Stdev (30 Minute),9/12/2014 1:17,1.06,1.31,5.20,12.21,3.50,0.28,2.38,0
Rolling Stdev (30 Minute),9/12/2014 1:18,1.04,1.29,5.07,11.85,3.51,0.26,2.35,0
Rolling Stdev (30 Minute),9/12/2014 1:19,1.04,1.29,5.09,11.87,3.56,0.26,2.34,0
Rolling Stdev (30 Minute),9/12/2014 1:20,1.05,1.25,4.75,11.79,3.43,0.26,2.28,0
Rolling Stdev (30 Minute),9/12/2014 1:21,1.11,1.23,4.86,11.27,3.38,0.26,2.23,0
Rolling Stdev (30 Minute),9/12/2014 1:22,1.13,1.18,4.75,11.64,3.44,0.25,2.15,0
Rolling Stdev (30 Minute),9/12/2014 1:23,1.16,1.21,4.56,12.05,3.38,0.24,2.20,0
Rolling Stdev (30 Minute),9/12/2014 1:24,1.21,1.21,4.54,12.03,3.38,0.24,2.21,0
Rolling Stdev (30 Minute),9/12/2014 1:25,1.18,1.21,4.67,12.10,3.36,0.23,2.20,0
Rolling Stdev (30 Minute),9/12/2014 1:26,1.20,1.20,4.66,12.08,3.23,0.22,2.19,0
Rolling Stdev (30 Minute),9/12/2014 1:27,1.20,1.20,4.98,12.32,3.13,0.22,2.19,0
Rolling Stdev (30 Minute),9/12/2014 1:28,1.20,1.22,5.16,12.76,3.01,0.22,2.21,0
Rolling Stdev (30 Minute),9/12/2014 1:29,1.18,1.18,5.10,12.87,3.12,0.24,2.15,0
Rolling Stdev (30 Minute),9/12/2014 1:30,1.18,1.16,5.04,12.50,3.06,0.24,2.11,0
Rolling Stdev (30 Minute),9/12/2014 1:31,1.20,1.14,5.04,12.47,2.96,0.24,2.07,0
Rolling Stdev (30 Minute),9/12/2014 1:32,1.23,1.14,5.04,12.84,3.04,0.24,2.08,0
Rolling Stdev (30 Minute),9/12/2014 1:33,1.23,1.17,5.32,12.66,2.89,0.26,2.13,0
Rolling Stdev (30 Minute),9/12/2014 1:34,1.23,1.15,5.66,12.70,2.83,0.25,2.08,0
Rolling Stdev (30 Minute),9/12/2014 1:35,1.23,1.13,5.64,12.79,2.84,0.26,2.06,0
Rolling Stdev (30 Minute),9/12/2014 1:36,1.26,1.16,5.83,12.79,2.91,0.27,2.10,0
Rolling Stdev (30 Minute),9/12/2014 1:37,1.25,1.20,5.70,12.78,2.98,0.26,2.19,0
Rolling Stdev (30 Minute),9/12/2014 1:38,1.22,1.18,5.70,12.67,2.87,0.26,2.14,0
Rolling Stdev (30 Minute),9/12/2014 1:39,1.24,1.18,5.71,12.67,2.87,0.25,2.14,0
Rolling Stdev (30 Minute),9/12/2014 1:40,1.25,1.18,5.67,12.67,3.05,0.25,2.14,0
Rolling Stdev (30 Minute),9/12/2014 1:41,1.26,1.18,5.72,12.47,3.05,0.24,2.15,0
Rolling Stdev (30 Minute),9/12/2014 1:42,1.29,1.16,5.80,12.46,3.05,0.25,2.11,0
Rolling Stdev (30 Minute),9/12/2014 1:43,1.31,1.21,5.80,12.61,3.07,0.26,2.20,0
Rolling Stdev (30 Minute),9/12/2014 1:44,1.36,1.16,5.88,12.77,3.09,0.27,2.11,0
Rolling Stdev (30 Minute),9/12/2014 1:45,1.32,1.22,5.86,12.95,3.17,0.27,2.21,0
Rolling Stdev (30 Minute),9/12/2014 1:46,1.32,1.24,5.85,12.67,3.28,0.27,2.25,0
Rolling Stdev (30 Minute),9/12/2014 1:47,1.32,1.23,5.75,12.26,3.27,0.27,2.24,0
Rolling Stdev (30 Minute),9/12/2014 1:48,1.32,1.21,5.91,12.63,3.32,0.27,2.21,0
Rolling Stdev (30 Minute),9/12/2014 1:49,1.32,1.22,5.90,12.50,3.39,0.26,2.21,0
Rolling Stdev (30 Minute),9/12/2014 1:50,1.32,1.24,6.06,12.42,3.40,0.26,2.26,0
Rolling Stdev (30 Minute),9/12/2014 1:51,1.29,1.23,5.98,12.48,3.50,0.25,2.24,0
Rolling Stdev (30 Minute),9/12/2014 1:52,1.31,1.29,6.03,12.69,3.36,0.25,2.35,0
Rolling Stdev (30 Minute),9/12/2014 1:53,1.27,1.28,6.05,12.81,3.50,0.25,2.33,0
Rolling Stdev (30 Minute),9/12/2014 1:54,1.23,1.26,6.01,12.94,3.43,0.25,2.29,0
Rolling Stdev (30 Minute),9/12/2014 1:55,1.22,1.25,5.90,13.14,3.43,0.26,2.27,0
Rolling Stdev (30 Minute),9/12/2014 1:56,1.21,1.27,5.83,13.51,3.44,0.26,2.30,0
Rolling Stdev (30 Minute),9/12/2014 1:57,1.20,1.26,5.79,13.32,3.45,0.28,2.28,0
Rolling Stdev (30 Minute),9/12/2014 1:58,1.20,1.25,5.55,13.04,3.45,0.28,2.27,0
Rolling Stdev (30 Minute),9/12/2014 1:59,1.21,1.25,5.69,12.73,3.33,0.26,2.27,0
Rolling Stdev (30 Minute),9/12/2014 2:00,1.20,1.25,5.72,13.01,3.45,0.25,2.27,0
Rolling Stdev (30 Minute),9/12/2014 2:01,1.16,1.25,5.67,13.08,3.43,0.25,2.27,0
Rolling Stdev (30 Minute),9/12/2014 2:02,1.15,1.25,5.62,12.63,3.44,0.24,2.27,0
Rolling Stdev (30 Minute),9/12/2014 2:03,1.12,1.26,5.52,12.57,3.49,0.24,2.28,0
Rolling Stdev (30 Minute),9/12/2014 2:04,1.13,1.26,5.32,12.22,3.49,0.24,2.29,0
Rolling Stdev (30 Minute),9/12/2014 2:05,1.12,1.26,5.38,12.04,3.52,0.24,2.29,0
Rolling Stdev (30 Minute),9/12/2014 2:06,1.09,1.21,5.16,12.33,3.45,0.24,2.20,0
Rolling Stdev (30 Minute),9/12/2014 2:07,1.09,1.17,5.16,12.44,3.42,0.24,2.13,0
Rolling Stdev (30 Minute),9/12/2014 2:08,1.10,1.22,5.49,12.76,3.46,0.27,2.22,0
Rolling Stdev (30 Minute),9/12/2014 2:09,1.11,1.21,5.61,12.71,3.46,0.28,2.20,0
Rolling Stdev (30 Minute),9/12/2014 2:10,1.08,1.22,5.61,12.74,3.30,0.27,2.21,0
Rolling Stdev (30 Minute),9/12/2014 2:11,1.08,1.20,5.68,12.91,3.38,0.29,2.18,0
Rolling Stdev (30 Minute),9/12/2014 2:12,1.04,1.18,5.52,13.34,3.34,0.28,2.14,0
Rolling Stdev (30 Minute),9/12/2014 2:13,1.04,1.14,5.49,13.44,3.38,0.27,2.08,0
Rolling Stdev (30 Minute),9/12/2014 2:14,1.05,1.13,5.50,13.28,3.30,0.26,2.06,0
Rolling Stdev (30 Minute),9/12/2014 2:15,1.06,1.08,5.39,12.79,3.27,0.26,1.96,0
Rolling Stdev (30 Minute),9/12/2014 2:16,1.11,1.04,5.46,12.66,3.24,0.26,1.90,0
Rolling Stdev (30 Minute),9/12/2014 2:17,1.12,1.05,5.45,12.73,3.18,0.26,1.92,0
Rolling Stdev (30 Minute),9/12/2014 2:18,1.12,1.06,5.56,12.44,3.15,0.28,1.92,0
Rolling Stdev (30 Minute),9/12/2014 2:19,1.13,1.05,5.60,12.62,2.99,0.29,1.91,0
Rolling Stdev (30 Minute),9/12/2014 2:20,1.14,1.06,5.37,12.66,3.04,0.28,1.92,0
Rolling Stdev (30 Minute),9/12/2014 2:21,1.14,1.07,5.37,12.84,2.87,0.29,1.94,0
Rolling Stdev (30 Minute),9/12/2014 2:22,1.09,1.03,5.20,12.44,2.87,0.31,1.87,0
Rolling Stdev (30 Minute),9/12/2014 2:23,1.12,1.05,5.40,11.89,2.59,0.32,1.91,0
Rolling Stdev (30 Minute),9/12/2014 2:24,1.12,1.04,5.47,11.95,2.88,0.32,1.88,0
Rolling Stdev (30 Minute),9/12/2014 2:25,1.14,1.03,5.65,11.32,2.97,0.32,1.88,0
Rolling Stdev (30 Minute),9/12/2014 2:26,1.19,1.04,5.68,10.97,2.97,0.32,1.88,0
Rolling Stdev (30 Minute),9/12/2014 2:27,1.19,1.07,5.61,10.93,3.05,0.31,1.94,0
Rolling Stdev (30 Minute),9/12/2014 2:28,1.23,1.06,5.57,10.91,3.20,0.31,1.94,0
Rolling Stdev (30 Minute),9/12/2014 2:29,1.21,1.10,5.49,10.79,3.23,0.31,2.00,0
Rolling Stdev (30 Minute),9/12/2014 2:30,1.23,1.14,5.44,10.79,3.18,0.31,2.06,0
Rolling Stdev (30 Minute),9/12/2014 2:31,1.23,1.12,5.44,10.80,3.18,0.31,2.03,0
Rolling Stdev (30 Minute),9/12/2014 2:32,1.22,1.17,5.43,10.78,3.15,0.31,2.12,0
Rolling Stdev (30 Minute),9/12/2014 2:33,1.24,1.15,5.71,10.93,3.15,0.33,2.09,0
Rolling Stdev (30 Minute),9/12/2014 2:34,1.24,1.13,5.92,10.40,3.09,0.32,2.05,0
Rolling Stdev (30 Minute),9/12/2014 2:35,1.25,1.12,5.86,10.41,2.99,0.32,2.04,0
Rolling Stdev (30 Minute),9/12/2014 2:36,1.25,1.13,5.94,10.31,3.09,0.32,2.05,0
Rolling Stdev (30 Minute),9/12/2014 2:37,1.25,1.13,6.19,10.30,3.12,0.32,2.06,0
Rolling Stdev (30 Minute),9/12/2014 2:38,1.25,1.11,6.09,10.58,3.10,0.30,2.01,0
Rolling Stdev (30 Minute),9/12/2014 2:39,1.22,1.10,6.02,10.72,3.24,0.30,2.00,0
Rolling Stdev (30 Minute),9/12/2014 2:40,1.25,1.14,5.92,10.78,3.28,0.30,2.08,0
Rolling Stdev (30 Minute),9/12/2014 2:41,1.27,1.14,5.76,10.66,3.28,0.29,2.07,0
Rolling Stdev (30 Minute),9/12/2014 2:42,1.28,1.14,5.91,10.55,3.26,0.29,2.07,0
Rolling Stdev (30 Minute),9/12/2014 2:43,1.28,1.15,5.89,10.26,3.36,0.29,2.09,0
Rolling Stdev (30 Minute),9/12/2014 2:44,1.27,1.15,5.89,10.32,3.40,0.29,2.08,0
Rolling Stdev (30 Minute),9/12/2014 2:45,1.26,1.15,5.86,10.21,3.42,0.29,2.09,0
Rolling Stdev (30 Minute),9/12/2014 2:46,1.22,1.15,5.82,10.91,3.34,0.29,2.09,0
Rolling Stdev (30 Minute),9/12/2014 2:47,1.21,1.14,6.04,10.91,3.31,0.29,2.07,0
Rolling Stdev (30 Minute),9/12/2014 2:48,1.22,1.16,5.83,11.14,3.31,0.29,2.12,0
Rolling Stdev (30 Minute),9/12/2014 2:49,1.25,1.17,5.79,11.24,3.31,0.28,2.12,0
Rolling Stdev (30 Minute),9/12/2014 2:50,1.30,1.14,5.78,11.64,3.17,0.29,2.06,0
Rolling Stdev (30 Minute),9/12/2014 2:51,1.33,1.10,5.73,11.43,3.12,0.28,2.00,0
Rolling Stdev (30 Minute),9/12/2014 2:52,1.33,1.04,5.70,11.57,3.12,0.28,1.89,0
Rolling Stdev (30 Minute),9/12/2014 2:53,1.30,1.03,5.64,11.70,3.09,0.28,1.88,0
Rolling Stdev (30 Minute),9/12/2014 2:54,1.30,1.10,5.54,11.48,3.10,0.26,2.00,0
Rolling Stdev (30 Minute),9/12/2014 2:55,1.27,1.10,5.54,11.54,3.05,0.27,2.00,0
Rolling Stdev (30 Minute),9/12/2014 2:56,1.25,1.09,5.43,11.55,3.05,0.26,1.98,0
Rolling Stdev (30 Minute),9/12/2014 2:57,1.30,1.11,5.36,11.54,3.12,0.27,2.02,0
Rolling Stdev (30 Minute),9/12/2014 2:58,1.27,1.16,5.47,11.73,3.10,0.27,2.11,0
Rolling Stdev (30 Minute),9/12/2014 2:59,1.27,1.18,5.27,11.94,3.10,0.27,2.14,0
Rolling Stdev (30 Minute),9/12/2014 3:00,1.23,1.15,5.39,11.37,3.06,0.27,2.09,0
Rolling Stdev (30 Minute),9/12/2014 3:01,1.29,1.12,5.75,11.74,3.16,0.27,2.04,0
Rolling Stdev (30 Minute),9/12/2014 3:02,1.29,1.08,5.87,11.98,3.24,0.27,1.96,0
Rolling Stdev (30 Minute),9/12/2014 3:03,1.30,1.11,5.95,11.94,3.20,0.27,2.01,0
Rolling Stdev (30 Minute),9/12/2014 3:04,1.32,1.14,5.75,12.09,3.15,0.27,2.07,0
Rolling Stdev (30 Minute),9/12/2014 3:05,1.31,1.14,5.87,12.63,3.21,0.29,2.08,0
Rolling Stdev (30 Minute),9/12/2014 3:06,1.31,1.19,5.99,12.92,3.17,0.29,2.16,0
Rolling Stdev (30 Minute),9/12/2014 3:07,1.30,1.21,5.83,13.11,3.08,0.28,2.20,0
Rolling Stdev (30 Minute),9/12/2014 3:08,1.30,1.21,5.64,12.87,3.09,0.28,2.19,0
Rolling Stdev (30 Minute),9/12/2014 3:09,1.28,1.22,5.47,12.83,3.02,0.28,2.21,0
Rolling Stdev (30 Minute),9/12/2014 3:10,1.26,1.23,5.90,13.24,2.98,0.27,2.23,0
Rolling Stdev (30 Minute),9/12/2014 3:11,1.22,1.19,5.99,13.64,2.98,0.29,2.16,0
Rolling Stdev (30 Minute),9/12/2014 3:12,1.16,1.18,5.99,13.46,3.01,0.29,2.15,0
Rolling Stdev (30 Minute),9/12/2014 3:13,1.18,1.19,6.00,13.79,2.84,0.29,2.15,0
Rolling Stdev (30 Minute),9/12/2014 3:14,1.18,1.19,5.92,14.19,2.70,0.31,2.16,0
Rolling Stdev (30 Minute),9/12/2014 3:15,1.20,1.22,5.91,14.35,2.81,0.31,2.22,0
Rolling Stdev (30 Minute),9/12/2014 3:16,1.19,1.24,5.91,14.35,2.82,0.31,2.25,0
Rolling Stdev (30 Minute),9/12/2014 3:17,1.19,1.26,5.92,14.41,2.80,0.31,2.28,0
Rolling Stdev (30 Minute),9/12/2014 3:18,1.19,1.24,5.96,14.46,2.86,0.31,2.26,0
Rolling Stdev (30 Minute),9/12/2014 3:19,1.14,1.24,6.22,14.47,3.01,0.33,2.26,0
Rolling Stdev (30 Minute),9/12/2014 3:20,1.13,1.26,6.20,14.47,3.07,0.33,2.29,0
Rolling Stdev (30 Minute),9/12/2014 3:21,1.09,1.30,6.32,14.45,3.09,0.34,2.37,0
Rolling Stdev (30 Minute),9/12/2014 3:22,1.07,1.27,6.28,14.22,3.26,0.33,2.31,0
Rolling Stdev (30 Minute),9/12/2014 3:23,1.12,1.24,6.21,14.53,3.32,0.33,2.25,0
Rolling Stdev (30 Minute),9/12/2014 3:24,1.12,1.25,6.17,14.46,3.24,0.34,2.27,0
Rolling Stdev (30 Minute),9/12/2014 3:25,1.13,1.26,6.03,14.61,3.23,0.33,2.29,0
Rolling Stdev (30 Minute),9/12/2014 3:26,1.12,1.26,6.07,14.59,3.27,0.33,2.29,0
Rolling Stdev (30 Minute),9/12/2014 3:27,1.07,1.26,6.10,14.55,3.25,0.32,2.29,0
Rolling Stdev (30 Minute),9/12/2014 3:28,1.05,1.26,6.22,14.48,3.25,0.32,2.29,0
Rolling Stdev (30 Minute),9/12/2014 3:29,1.09,1.25,6.42,14.32,3.17,0.32,2.27,0
Rolling Stdev (30 Minute),9/12/2014 3:30,1.10,1.26,6.40,14.30,3.20,0.32,2.29,0
Rolling Stdev (30 Minute),9/12/2014 3:31,1.03,1.25,6.26,14.18,3.16,0.32,2.27,0
Rolling Stdev (30 Minute),9/12/2014 3:32,1.04,1.26,6.21,13.87,3.22,0.32,2.30,0
Rolling Stdev (30 Minute),9/12/2014 3:33,0.98,1.27,6.07,14.33,3.29,0.33,2.31,0
Rolling Stdev (30 Minute),9/12/2014 3:34,0.95,1.32,6.24,14.94,3.46,0.36,2.24,0
Rolling Stdev (30 Minute),9/12/2014 3:35,0.97,1.39,6.36,15.54,3.41,0.38,2.28,0
Rolling Stdev (30 Minute),9/12/2014 3:36,0.95,1.44,6.64,15.73,3.44,0.42,2.23,0
Rolling Stdev (30 Minute),9/12/2014 3:37,0.94,1.49,6.75,16.83,3.55,0.46,2.21,0
Rolling Stdev (30 Minute),9/12/2014 3:38,0.97,1.49,6.71,18.14,3.60,0.49,2.30,0
Rolling Stdev (30 Minute),9/12/2014 3:39,0.99,1.46,6.88,19.30,3.67,0.53,2.44,0
Rolling Stdev (30 Minute),9/12/2014 3:40,0.99,1.50,6.79,19.74,3.68,0.55,2.40,0
Rolling Stdev (30 Minute),9/12/2014 3:41,1.00,1.50,6.86,20.15,3.68,0.56,2.40,0
Rolling Stdev (30 Minute),9/12/2014 3:42,1.00,1.49,6.52,20.68,3.66,0.57,2.39,0
Rolling Stdev (30 Minute),9/12/2014 3:43,1.01,1.50,6.53,20.44,3.67,0.57,2.44,0
Rolling Stdev (30 Minute),9/12/2014 3:44,0.97,1.51,6.28,20.35,3.68,0.56,2.56,0
Rolling Stdev (30 Minute),9/12/2014 3:45,0.98,1.50,6.19,20.45,3.63,0.56,2.51,0
Rolling Stdev (30 Minute),9/12/2014 3:46,0.93,1.50,6.27,19.90,3.71,0.56,2.50,0
Rolling Stdev (30 Minute),9/12/2014 3:47,0.93,1.48,6.30,19.80,3.76,0.56,2.46,0
Rolling Stdev (30 Minute),9/12/2014 3:48,0.98,1.47,5.69,18.71,3.65,0.52,2.58,0
Rolling Stdev (30 Minute),9/12/2014 3:49,0.99,1.49,5.80,18.93,3.60,0.53,2.57,0
Rolling Stdev (30 Minute),9/12/2014 3:50,0.99,1.47,5.55,17.73,3.52,0.50,2.49,0
Rolling Stdev (30 Minute),9/12/2014 3:51,0.99,1.46,5.56,17.75,3.57,0.50,2.51,0
Rolling Stdev (30 Minute),9/12/2014 3:52,0.99,1.51,5.66,17.90,3.53,0.51,2.48,0
Rolling Stdev (30 Minute),9/12/2014 3:53,0.98,1.56,5.63,17.91,3.57,0.51,2.50,0
Rolling Stdev (30 Minute),9/12/2014 3:54,0.96,1.47,5.72,17.30,3.48,0.50,2.35,0
Rolling Stdev (30 Minute),9/12/2014 3:55,0.97,1.48,5.67,16.10,3.44,0.48,2.37,0
Rolling Stdev (30 Minute),9/12/2014 3:56,0.97,1.48,5.26,15.46,3.26,0.44,2.37,0
Rolling Stdev (30 Minute),9/12/2014 3:57,0.98,1.38,4.64,15.43,2.97,0.43,2.20,0
Rolling Stdev (30 Minute),9/12/2014 3:58,0.96,1.32,4.68,14.47,2.69,0.41,2.04,0
Rolling Stdev (30 Minute),9/12/2014 3:59,0.99,1.26,4.69,13.13,2.70,0.40,2.02,0
Rolling Stdev (30 Minute),9/12/2014 4:00,0.95,1.29,4.25,12.27,2.45,0.36,2.01,0
Rolling Stdev (30 Minute),9/12/2014 4:01,0.90,1.25,3.32,9.07,1.91,0.26,1.96,0
Rolling Stdev (30 Minute),9/12/2014 4:02,0.82,1.16,2.72,7.00,1.89,0.17,1.79,0
Rolling Stdev (30 Minute),9/12/2014 4:03,0.82,1.02,2.67,6.87,1.07,0.17,1.49,0
Rolling Stdev (30 Minute),9/12/2014 4:04,0.84,1.02,2.81,6.75,1.04,0.17,1.52,0
